Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns,KeyName
85922219,39,77,1,0,DOWN,354681402588,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,354714639388,"B"
85922219,68,32,0,0,DOWN,354744149288,"D"
85922219,70,33,0,0,DOWN,354816971388,"F"
85922219,69,18,0,0,DOWN,354848452988,"E"
85922219,82,19,0,0,DOWN,354922762388,"R"
85922219,78,49,0,0,DOWN,355025553888,"N"
85922219,76,38,0,0,DOWN,355064098588,"L"
85922219,39,77,1,0,DOWN,355104740488,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,355136311188,"B"
85922219,68,32,0,0,DOWN,355168583088,"D"
85922219,70,33,0,0,DOWN,355240359088,"F"
85922219,69,18,0,0,DOWN,355271887988,"E"
85922219,82,19,0,0,DOWN,355346204888,"R"
85922219,78,49,0,0,DOWN,355448093888,"N"
85922219,76,38,0,0,DOWN,355480410688,"L"
85922219,39,77,1,0,DOWN,355520201688,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,355560490488,"B"
85922219,68,32,0,0,DOWN,355593056788,"D"
85922219,71,34,0,0,DOWN,355618093788,"G"
85922219,70,33,0,0,DOWN,355656016888,"F"
85922219,69,18,0,0,DOWN,355696360988,"E"
85922219,72,35,0,0,DOWN,355727993488,"H"
85922219,82,19,0,0,DOWN,355760724288,"R"
85922219,78,49,0,0,DOWN,355864284288,"N"
85922219,76,38,0,0,DOWN,355896245488,"L"
85922219,39,77,1,0,DOWN,355936192088,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,355977130588,"B"
85922219,68,32,0,0,DOWN,356010192488,"D"
85922219,71,34,0,0,DOWN,356041317988,"G"
85922219,70,33,0,0,DOWN,356072782388,"F"
85922219,69,18,0,0,DOWN,356112108588,"E"
85922219,82,19,0,0,DOWN,356184421288,"R"
85922219,78,49,0,0,DOWN,356289105188,"N"
85922219,76,38,0,0,DOWN,356320322988,"L"
85922219,39,77,1,0,DOWN,356360130388,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,356401276388,"B"
85922219,68,32,0,0,DOWN,356424761788,"D"
85922219,70,33,0,0,DOWN,356497475688,"F"
85922219,69,18,0,0,DOWN,356528367688,"E"
85922219,82,19,0,0,DOWN,356601754788,"R"
85922219,78,49,0,0,DOWN,356704209088,"N"
85922219,76,38,0,0,DOWN,356744238788,"L"
85922219,39,77,1,0,DOWN,356787614688,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,356816018588,"B"
85922219,68,32,0,0,DOWN,356847978488,"D"
85922219,70,33,0,0,DOWN,356920124088,"F"
85922219,69,18,0,0,DOWN,356955318688,"E"
85922219,82,19,0,0,DOWN,357024497288,"R"
85922219,85,22,0,0,DOWN,357058571588,"U"
85922219,78,49,0,0,DOWN,357121488488,"N"
85922219,76,38,0,0,DOWN,357160139088,"L"
