seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
175,14,7,N,1,37571630000,1409521126832,-5488531,True,-5.488531,1371949496832,-4877292
176,14,8,L,2,37671632000,1409625381632,-1233495,True,-1.233495,1371953749632,-622256
177,14,9,A,0,37771634000,1409721038832,-5576060,True,-5.57606,1371949404832,-4964821
178,14,10,N,1,37871635000,1409823328732,-3284925,True,-3.284925,1371951693732,-2673686
178,14,10,N,1,37871635000,1409823328732,-3284925,True,-3.284925,1371951693732,-2673686
179,14,11,D,5,37971637000,1409929295732,2682310,True,2.68231,1371957658732,3293549
180,15,0,F,11,38071639000,1410024197232,-2415954,True,-2.415954,1371952558232,-1804715
181,15,1,H,13,38171640000,1410127512532,900580,True,0.90058,1371955872532,1511819
182,15,2,B,4,38271643000,1410225889532,-723183,True,-0.723183,1371954246532,-111944
183,15,3,U,15,38371645000,1410329895032,3282551,True,3.282551,1371958250032,3893790
184,15,4,R,14,38471647000,1410423216532,-3395713,True,-3.395713,1371951569532,-2784474
185,15,5,G,10,38571648000,1410527395532,784522,True,0.784522,1371955747532,1395761
186,15,6,E,12,38671649000,1410625173432,-1436342,True,-1.436342,1371953524432,-825103
187,15,7,N,1,38771650000,1410727647132,1038592,True,1.038592,1371955997132,1649831
187,15,7,N,1,38771650000,1410727647132,1038592,True,1.038592,1371955997132,1649831
188,15,8,L,2,38871651000,1410824493532,-2113771,True,-2.113771,1371952842532,-1502532
189,15,9,A,0,38971652000,1410928267632,1661563,True,1.661563,1371956615632,2272802
190,15,10,N,1,39071655000,1411025020332,-1586500,True,-1.5865,1371953365332,-975261
190,15,10,N,1,39071655000,1411025020332,-1586500,True,-1.5865,1371953365332,-975261
191,15,11,D,5,39171657000,1411128022432,1415834,True,1.415834,1371956365432,2027073
192,16,0,F,11,39271659000,1411223674032,-2932330,True,-2.93233,1371952015032,-2321091
193,16,1,H,13,39371659000,1411328301232,1697105,True,1.697105,1371956642232,2308344
194,16,2,B,4,39471661000,1411424161332,-2442559,True,-2.442559,1371952500332,-1831320
195,16,3,U,15,39571663000,1411527987632,1383975,True,1.383975,1371956324632,1995214
196,16,4,R,14,39671665000,1411624435532,-2167888,True,-2.167888,1371952770532,-1556649
197,16,5,G,10,39771666000,1411728000432,1398246,True,1.398246,1371956334432,2009485
198,16,6,E,12,39871668000,1411827700432,1098481,True,1.098481,1371956032432,1709720
199,16,7,N,1,39971671000,1411934340532,7737817,True,7.737817,1371962669532,8349056
199,16,7,N,1,39971671000,1411934340532,7737817,True,7.737817,1371962669532,8349056
200,16,8,L,2,40071672000,1412023635732,-2965747,True,-2.965747,1371951963732,-2354508
201,16,9,A,0,40171673000,1412119393232,-7207012,True,-7.207012,1371947720232,-6595773
202,16,10,N,1,40271675000,1412224818532,-1781476,True,-1.781476,1371953143532,-1170237
202,16,10,N,1,40271675000,1412224818532,-1781476,True,-1.781476,1371953143532,-1170237
203,16,11,D,5,40371677000,1412328216032,1616258,True,1.616258,1371956539032,2227497
204,17,0,F,11,40471679000,1412424416932,-2182605,True,-2.182605,1371952737932,-1571366
205,17,1,H,13,40571681000,1412525737132,-862170,True,-0.86217,1371954056132,-250931
207,17,3,U,15,40771682000,1412720959332,-5636499,True,-5.636499,1371949277332,-5025260
208,17,4,R,14,40871683000,1412825079032,-1515564,True,-1.515564,1371953396032,-904325
209,17,5,G,10,40971685000,1412920360632,-6233729,True,-6.233729,1371948675632,-5622490
210,17,6,E,12,41071687000,1413031934132,5340006,True,5.340006,1371960247132,5951245
211,17,7,N,1,41171689000,1413128488432,1894541,True,1.894541,1371956799432,2505780
211,17,7,N,1,41171689000,1413128488432,1894541,True,1.894541,1371956799432,2505780
212,17,8,L,2,41271691000,1413224132132,-2461523,True,-2.461523,1371952441132,-1850284
213,17,9,A,0,41371693000,1413320210832,-6382587,True,-6.382587,1371948517832,-5771348
214,17,10,N,1,41471695000,1413424913632,-1679552,True,-1.679552,1371953218632,-1068313
214,17,10,N,1,41471695000,1413424913632,-1679552,True,-1.679552,1371953218632,-1068313
215,17,11,D,5,41571698000,1413528406232,1812282,True,1.812282,1371956708232,2423521
216,18,0,F,11,41671699000,1413624978132,-1614581,True,-1.614581,1371953279132,-1003342
217,18,1,H,13,41771702000,1413727471632,878153,True,0.878153,1371955769632,1489392
218,18,2,B,4,41871703000,1413823126932,-3465310,True,-3.46531,1371951423932,-2854071
219,18,3,U,15,41971705000,1413929455832,2863824,True,2.863824,1371957750832,3475063
220,18,4,R,14,42071706000,1414024383132,-2207640,True,-2.20764,1371952677132,-1596401
221,18,5,G,10,42171708000,1414130390632,3800095,True,3.800095,1371958682632,4411334
222,18,6,E,12,42271710000,1414224735632,-1854669,True,-1.854669,1371953025632,-1243430
223,18,7,N,1,42371713000,1414328551932,1960865,True,1.960865,1371956838932,2572104
223,18,7,N,1,42371713000,1414328551932,1960865,True,1.960865,1371956838932,2572104
224,18,8,L,2,42471715000,1414423402232,-3188598,True,-3.188598,1371951687232,-2577359
225,18,9,A,0,42571716000,1414529426532,2836936,True,2.836936,1371957710532,3448175
226,18,10,N,1,42671717000,1414624272432,-2315928,True,-2.315928,1371952555432,-1704689
