device,vkey,scancode,e0,e1,t1_ns,keyname
293540923,78,49,0,0,1409823328732,"N"
293540923,68,32,0,0,1409929295732,"D"
293540923,70,33,0,0,1410024197232,"F"
293540923,72,35,0,0,1410127512532,"H"
293540923,66,48,0,0,1410225889532,"B"
293540923,85,22,0,0,1410329895032,"U"
293540923,82,19,0,0,1410423216532,"R"
293540923,71,34,0,0,1410527395532,"G"
293540923,69,18,0,0,1410625173432,"E"
293540923,78,49,0,0,1410727647132,"N"
293540923,76,38,0,0,1410824493532,"L"
293540923,65,30,0,0,1410928267632,"A"
293540923,78,49,0,0,1411025020332,"N"
293540923,68,32,0,0,1411128022432,"D"
293540923,70,33,0,0,1411223674032,"F"
293540923,72,35,0,0,1411328301232,"H"
293540923,66,48,0,0,1411424161332,"B"
293540923,85,22,0,0,1411527987632,"U"
293540923,82,19,0,0,1411624435532,"R"
293540923,71,34,0,0,1411728000432,"G"
293540923,69,18,0,0,1411827700432,"E"
293540923,78,49,0,0,1411934340532,"N"
293540923,76,38,0,0,1412023635732,"L"
293540923,65,30,0,0,1412119393232,"A"
293540923,78,49,0,0,1412224818532,"N"
293540923,68,32,0,0,1412328216032,"D"
293540923,70,33,0,0,1412424416932,"F"
293540923,72,35,0,0,1412525737132,"H"
293540923,66,48,0,0,1412634886232,"B"
293540923,85,22,0,0,1412720959332,"U"
293540923,82,19,0,0,1412825079032,"R"
293540923,71,34,0,0,1412920360632,"G"
293540923,69,18,0,0,1413031934132,"E"
293540923,78,49,0,0,1413128488432,"N"
293540923,76,38,0,0,1413224132132,"L"
293540923,65,30,0,0,1413320210832,"A"
293540923,78,49,0,0,1413424913632,"N"
293540923,68,32,0,0,1413528406232,"D"
293540923,70,33,0,0,1413624978132,"F"
293540923,72,35,0,0,1413727471632,"H"
293540923,66,48,0,0,1413823126932,"B"
293540923,85,22,0,0,1413929455832,"U"
293540923,82,19,0,0,1414024383132,"R"
293540923,71,34,0,0,1414130390632,"G"
293540923,69,18,0,0,1414224735632,"E"
293540923,78,49,0,0,1414328551932,"N"
293540923,76,38,0,0,1414423402232,"L"
293540923,65,30,0,0,1414529426532,"A"
293540923,78,49,0,0,1414624272432,"N"
293540923,68,32,0,0,1414729687432,"D"
293540923,70,33,0,0,1414826606032,"F"
293540923,72,35,0,0,1414927412332,"H"
293540923,66,48,0,0,1415024810332,"B"
293540923,85,22,0,0,1415127760332,"U"
293540923,82,19,0,0,1415223820132,"R"
293540923,71,34,0,0,1415337200232,"G"
293540923,69,18,0,0,1415424060432,"E"
293540923,78,49,0,0,1415529363832,"N"
293540923,76,38,0,0,1415622989632,"L"
293540923,65,30,0,0,1415722048132,"A"
293540923,78,49,0,0,1415825925632,"N"
293540923,68,32,0,0,1415928682132,"D"
293540923,70,33,0,0,1416024902132,"F"
293540923,72,35,0,0,1416121028732,"H"
293540923,66,48,0,0,1416225749632,"B"
293540923,85,22,0,0,1416320492132,"U"
293540923,82,19,0,0,1416424206432,"R"
293540923,71,34,0,0,1416519613832,"G"
293540923,69,18,0,0,1416632540632,"E"
293540923,78,49,0,0,1416733388132,"N"
293540923,76,38,0,0,1416824690432,"L"
293540923,65,30,0,0,1416927988732,"A"
293540923,78,49,0,0,1417026542032,"N"
293540923,68,32,0,0,1417128318932,"D"
293540923,70,33,0,0,1417223386232,"F"
293540923,72,35,0,0,1417328837132,"H"
293540923,66,48,0,0,1417424228132,"B"
293540923,85,22,0,0,1417540531432,"U"
293540923,82,19,0,0,1417623517132,"R"
293540923,71,34,0,0,1417730864832,"G"
293540923,69,18,0,0,1417827454832,"E"
293540923,78,49,0,0,1417931367732,"N"
293540923,76,38,0,0,1418023707132,"L"
293540923,65,30,0,0,1418127724332,"A"
293540923,78,49,0,0,1418223760232,"N"
293540923,68,32,0,0,1418327878232,"D"
293540923,70,33,0,0,1418423529132,"F"
293540923,72,35,0,0,1418528280932,"H"
293540923,66,48,0,0,1418625468032,"B"
293540923,85,22,0,0,1418728076432,"U"
293540923,82,19,0,0,1418825987132,"R"
293540923,71,34,0,0,1418928550332,"G"
293540923,69,18,0,0,1419022958132,"E"
293540923,78,49,0,0,1419119930732,"N"
293540923,76,38,0,0,1419223731932,"L"
293540923,65,30,0,0,1419319744232,"A"
293540923,78,49,0,0,1419426511932,"N"
293540923,68,32,0,0,1419527506132,"D"
293540923,70,33,0,0,1419623439432,"F"
293540923,72,35,0,0,1419720850832,"H"
293540923,66,48,0,0,1419823462632,"B"
