seq,cycle,pos,char,gpio,t0_us,host_rx_ns
499,41,7,N,1,69972224,1441983497132
500,41,8,L,2,70072226,1442079090132
501,41,9,A,0,70172228,1442174423632
502,41,10,N,1,70272229,1442270956232
503,41,11,D,5,70372230,1442381927032
504,42,0,F,11,70472231,1442477217332
505,42,1,H,13,70572233,1442571964532
506,42,2,B,4,70672236,1442668043132
507,42,3,U,15,70772238,1442779796532
508,42,4,R,14,70872240,1442876730332
509,42,5,G,10,70972242,1442972205732
510,42,6,E,12,71072245,1443067626332
511,42,7,N,1,71172247,1443179784332
512,42,8,L,2,71272249,1443274773232
513,42,9,A,0,71372251,1443370759532
514,42,10,N,1,71472254,1443482043532
515,42,11,D,5,71572255,1443594263432
516,43,0,F,11,71672257,1443674030532
517,43,1,H,13,71772258,1443769839132
518,43,2,B,4,71872260,1443881404132
519,43,3,U,15,71972262,1443978167732
520,43,4,R,14,72072264,1444073385632
521,43,5,G,10,72172267,1444167915732
522,43,6,E,12,72272268,1444278731932
523,43,7,N,1,72372271,1444373946132
524,43,8,L,2,72472273,1444470919432
525,43,9,A,0,72572275,1444581395132
526,43,10,N,1,72672277,1444677515432
527,43,11,D,5,72772278,1444788467232
528,44,0,F,11,72872280,1444867731232
529,44,1,H,13,72972282,1444978614932
530,44,2,B,4,73072283,1445074372932
531,44,3,U,15,73172284,1445169315332
532,44,4,R,14,73272286,1445283517332
533,44,5,G,10,73372288,1445378233932
534,44,6,E,12,73472291,1445473782132
535,44,7,N,1,73572293,1445568731032
536,44,8,L,2,73672295,1445680590232
537,44,9,A,0,73772296,1445775836332
538,44,10,N,1,73872298,1445871056732
539,44,11,D,5,73972300,1445981911632
540,45,0,F,11,74072302,1446077327132
541,45,1,H,13,74172303,1446173884132
542,45,2,B,4,74272305,1446268801532
543,45,3,U,15,74372307,1446381022832
544,45,4,R,14,74472308,1446475911932
545,45,5,G,10,74572310,1446571948032
546,45,6,E,12,74672313,1446668499232
547,45,7,N,1,74772316,1446780348632
548,45,8,L,2,74872316,1446876430632
549,45,9,A,0,74972319,1446971623432
550,45,10,N,1,75072321,1447067368632
551,45,11,D,5,75172323,1447178821232
552,46,0,F,11,75272325,1447274511432
553,46,1,H,13,75372326,1447369867032
554,46,2,B,4,75472328,1447481362432
555,46,3,U,15,75572330,1447576675432
556,46,4,R,14,75672330,1447671924932
557,46,5,G,10,75772331,1447767601732
558,46,6,E,12,75872332,1447878496732
559,46,7,N,1,75972332,1447973997432
560,46,8,L,2,76072334,1448071254432
561,46,9,A,0,76172336,1448181532432
562,46,10,N,1,76272338,1448275974632
563,46,11,D,5,76372341,1448387489332
564,47,0,F,11,76472343,1448482826332
565,47,1,H,13,76572346,1448579014132
566,47,2,B,4,76672348,1448674182432
567,47,3,U,15,76772350,1448769559032
568,47,4,R,14,76872353,1448880702032
569,47,5,G,10,76972356,1448976507232
570,47,6,E,12,77072358,1449072339332
571,47,7,N,1,77172361,1449167964432
572,47,8,L,2,77272363,1449280059332
573,47,9,A,0,77372365,1449374942232
574,47,10,N,1,77472367,1449470561032
575,47,11,D,5,77572368,1449581810132
576,48,0,F,11,77672370,1449677260332
577,48,1,H,13,77772371,1449773523332
578,48,2,B,4,77872372,1449868912432
579,48,3,U,15,77972374,1449980584732
580,48,4,R,14,78072376,1450076000432
581,48,5,G,10,78172378,1450171068332
582,48,6,E,12,78272380,1450282251332
